person_id_random,birthday,gender,signup_date,fb_friend_count,current_home_years,current_home_months,living_situation,current_job_years,current_job_months,education,how_much_paid,how_often_paid,referral_source,outstanding_loan,use_mobile_wallet_how_often,relationship_status,is_employed
8548843141,7/11/1988,M,3/20/2014 10:37,,,,,,,,,,google_play_store,,10+,,
5334896838,3/10/1980,M,3/22/2014 21:07,557,,,,,,,,,,,9-Apr,,
4656062708,9/22/1973,M,4/3/2014 3:07,308,,,,,,,,,facebook,no,10+,,
2283557917,11/22/1985,F,5/2/2014 0:57,115,5+,10,pay_rent,,,,50000,monthly,facebook,no,daily,,
8449258035,9/12/1988,F,5/2/2014 11:23,473,3,0,pay_rent,,,,,weekly,family,no,daily,,
2287514871,,M,5/3/2014 4:13,1168,2,0,pay_rent,,,,30000,monthly,,no,daily,,
4017268696,7/16/1983,M,5/3/2014 4:49,925,1,2,Live with my parent,,,,15000,monthly,friend,no,few_times_a_week,,
5585643436,6/21/1988,F,5/4/2014 7:15,465,1,,pay_rent,2,7,,40000,monthly,,yes,few_times_a_week,,
4239791639,3/2/2024,F,5/6/2014 22:46,65,4,0,pay_rent,3,,,8000,monthly,,no,few_times_a_week,,
3585535472,11/22/1974,M,5/7/2014 2:25,839,2,4,pay_rent,,7,,1500,daily,,no,few_times_a_week,,
3342477379,3/21/1979,F,5/7/2014 6:34,636,4,0,pay_rent,5+,,,30000,monthly,friend,no,few_times_a_week,,
5346231779,7/10/1985,F,5/7/2014 11:09,412,2,0,pay_rent,4,,,6000,weekly,,no,daily,,
1341618714,,F,5/7/2014 23:11,3283,0,2,pay_rent,1,,,15000,monthly,,no,few_times_a_week,,
6891187473,12/29/1983,M,5/13/2014 1:50,122,0,,pay_rent,4,,,,weekly,,no,few_times_a_week,,
9545294644,3/3/1983,M,5/13/2014 5:53,147,0,9,pay_rent,2,,,9500,monthly,,yes,daily,,
3884829185,8/11/1983,F,5/14/2014 23:05,278,5+,5,live at our parents home,2,0,,40000,monthly,,no,few_times_a_week,,
3422259391,9/19/1989,M,5/15/2014 5:07,392,5+,5,pay_rent,3,0,,2500,"Freelance IT Personnel,earns money making deliveries such printing papers, repairing computers, web designer etc",,no,few_times_a_week,,
7357826278,7/17/2019,M,5/15/2014 5:26,380,4,2,pay_rent,5+,,,60000,monthly,,no,daily,,
4342241928,5/9/1962,M,5/15/2014 9:49,142,2,8,pay_rent,,,,20000,monthly,,no,few_times_a_week,,
2535099359,,M,5/16/2014 6:31,411,5+,0,pay_rent,,,,16000,monthly,,yes,few_times_a_week,,
1911454239,4/21/1984,F,5/18/2014 23:20,199,4,0,own_home,,,,30000,weekly,,no,daily,,
3930083269,7/11/1983,M,5/19/2014 4:26,170,5+,11,living in a family home,4,,,15000,monthly,,yes,few_times_a_week,,
3670141772,1/26/1993,F,5/19/2014 9:25,495,4,,pay_rent,0,,,500,daily,,no,few_times_a_week,,
1817487983,1/19/1985,M,5/20/2014 23:30,707,5+,0,pay_rent,4,,,15000,monthly,facebook,no,daily,,
3967732927,9/9/1987,M,5/20/2014 23:35,2067,5+,0,pay_rent,,,,50000,monthly,,yes,daily,,
8521033508,4/18/1988,M,5/21/2014 2:42,277,4,0,pay_rent,,,,900,daily,,no,few_times_a_week,,
5799676461,5/6/1983,M,5/21/2014 22:01,3058,4,0,pay_rent,5+,,,50000,monthly,,yes,daily,,
2528750026,9/24/1989,F,5/21/2014 22:48,1340,3,0,pay_rent,,,,200,daily,,yes,few_times_a_week,,
5330295937,1/22/1981,M,5/21/2014 23:40,214,5+,11,pay_rent,3,6,,1000,,facebook,no,daily,,
4345724251,9/19/1980,M,5/22/2014 12:24,88,4,2,pay_rent,,10,,65850,monthly,,no,daily,,
3757970868,5/14/1992,M,5/26/2014 8:46,854,2,5,own_home,1,,,200,,,no,daily,,
2669649960,11/26/1982,M,5/27/2014 0:43,33,3,0,pay_rent,4,,,20000,weekly,,no,daily,,
3620626456,5/27/1990,M,5/27/2014 4:46,392,3,9,own_home,4,5,,2060,,,no,daily,,
5958664143,6/15/1992,M,5/29/2014 9:46,148,3,0,pay_rent,2,,,20000,monthly,,no,few_times_a_week,,
1661102022,2/21/1984,F,5/30/2014 1:49,128,4,2,pay_rent,3,0,,3500,daily,,no,daily,,
7777374938,8/10/1965,M,6/6/2014 23:50,49,5+,11,own_home,5+,0,,4000,weekly,,no,daily,,
5875230942,10/17/1930,M,6/9/2014 3:43,797,2,6,pay_rent,0,4,,800,daily,,no,few_times_a_week,,
5563120467,11/22/1980,M,6/9/2014 6:22,234,4,0,pay_rent,3,0,,1000,daily,,no,daily,,
6551180719,,M,6/10/2014 2:06,739,2,2,own_home,3,2,,5500,weekly,,no,few_times_a_week,,
4552401360,1/18/1989,M,6/10/2014 22:22,463,1,5,pay_rent,2,0,,15000,monthly,,no,few_times_a_week,,
7177006216,4/23/1995,F,6/11/2014 13:16,2564,5+,6,pay_rent,5+,10,,26000,monthly,friend,no,daily,,
1978413484,8/17/1986,F,6/12/2014 2:10,161,5+,0,pay_rent,4,0,,3200,weekly,,no,few_times_a_week,,
7734209346,12/2/1971,M,6/12/2014 11:59,408,2,0,pay_rent,5+,0,,100000,payments received from my clients,facebook,yes,daily,,
3995102460,11/10/1980,F,6/13/2014 5:43,1020,2,0,pay_rent,5+,0,,30000,monthly,,yes,daily,,
8994467797,6/22/1993,F,6/13/2014 7:52,662,2,4,own_home,3,2,,1600,weekly,,no,daily,,
6386473095,7/25/1984,F,6/14/2014 3:33,559,3,0,pay_rent,5+,0,,300,daily,friend,no,few_times_a_week,,
1892163498,,M,6/15/2014 8:26,3454,2,10,I stay with my brother,3,2,,9000,weekly,,no,daily,,
1183321030,5/22/1987,F,6/15/2014 13:23,437,2,0,pay_rent,2,0,,12000,monthly,,yes,few_times_a_week,,
5377931105,2/29/1992,M,6/16/2014 4:12,971,2,3,pay_rent,1,4,,5000,weekly,,yes,daily,,
2358807840,5/2/1977,M,6/16/2014 5:15,984,0,0,pay_rent,5+,0,,1,daily,facebook,no,daily,,
5868139297,1/19/1990,M,6/19/2014 8:51,1458,5+,0,own_home,5+,0,,12000,monthly,,no,few_times_a_week,,
1135111501,9/15/1994,F,6/21/2014 1:16,1060,1,0,pay_rent,1,0,,10000,daily,,yes,few_times_a_week,,
6100057929,8/21/1977,F,6/21/2014 10:27,164,4,0,pay_rent,0,0,,2000,daily,,no,daily,,
8685630915,7/17/1994,F,6/25/2014 0:19,217,0,0,istay with my parent,1,0,,1000,weekly,,no,few_times_a_week,,
