person_id_random,nLoans,loanStartDates,loanPaidDates,currentDate
7346661357,1,3/3/15,,8/19/15
9468184407,1,7/21/15,8/15/15,8/19/15
2990883566,1,12/29/14,,8/19/15
2320175519,6,2015-05-08;2015-05-29;2015-06-15;2015-07-03;2015-08-01;2015-08-17,2015-05-26;2015-06-15;2015-07-03;2015-07-30;2015-08-17,8/19/15
5330295937,5,2014-05-23;2014-06-09;2014-06-20;2014-07-14;2014-08-05,2014-06-08;2014-06-20;2014-07-05;2014-08-04,8/19/15
7629417453,1,6/2/15,,8/19/15
5594363895,1,7/20/15,,8/19/15
5935455253,2,2015-02-28;2015-03-14,3/14/15,8/19/15
5254531566,8,2015-03-17;2015-04-07;2015-04-22;2015-05-11;2015-05-30;2015-06-16;2015-07-14;2015-08-06,2015-04-07;2015-04-22;2015-05-11;2015-05-29;2015-06-16;2015-07-14;2015-08-06,8/19/15
8230219163,5,2015-05-29;2015-06-08;2015-07-01;2015-07-22;2015-08-09,2015-06-08;2015-06-30;2015-07-22;2015-08-08,8/19/15
3152634654,2,2015-07-17;2015-08-07,8/7/15,8/19/15
7598871262,3,2015-04-09;2015-06-26;2015-07-22,2015-04-27;2015-07-20,8/19/15
5781556178,3,2015-07-28;2015-08-12;2015-08-14,2015-08-12;2015-08-14,8/19/15
8834809018,1,4/14/15,,8/19/15
7442299181,3,2015-03-25;2015-04-10;2015-04-28,2015-04-08;2015-04-28,8/19/15
7076340710,2,2015-03-31;2015-06-16,6/10/15,8/19/15
5843534196,5,2015-05-30;2015-06-03;2015-06-08;2015-06-29;2015-07-15,2015-06-03;2015-06-08;2015-06-26;2015-07-15,8/19/15
5563120467,1,6/9/14,,8/19/15
3225694348,1,8/18/14,9/10/14,8/19/15
1389690912,5,2015-04-12;2015-05-12;2015-06-07;2015-07-05;2015-07-06,2015-05-04;2015-06-03;2015-07-04;2015-07-06,8/19/15
9148351638,1,4/25/15,,8/19/15
1784191842,5,2015-03-29;2015-05-05;2015-06-06;2015-07-01;2015-08-05,2015-05-05;2015-06-05;2015-07-01;2015-08-05,8/19/15
4239791639,2,2014-05-07;2014-05-27,2014-05-27;2014-06-17,8/19/15
8634554863,5,2015-04-15;2015-04-28;2015-05-03;2015-05-19;2015-06-28,2015-04-21;2015-05-02;2015-05-07;2015-06-12;2015-07-20,8/19/15
7228483529,6,2015-05-30;2015-06-05;2015-06-19;2015-07-03;2015-07-18;2015-08-11,2015-06-05;2015-06-19;2015-07-03;2015-07-18;2015-08-05,8/19/15
1660359942,2,2015-06-23;2015-07-05,7/5/15,8/19/15
4850039402,4,2015-03-29;2015-04-03;2015-04-13;2015-04-27,2015-04-03;2015-04-13;2015-04-27,8/19/15
3418297468,1,7/5/15,,8/19/15
2174427212,5,2015-06-21;2015-06-29;2015-07-06;2015-07-13;2015-08-03,2015-06-29;2015-07-05;2015-07-13;2015-08-03,8/19/15
2562664921,3,2015-04-22;2015-04-26;2015-05-03,2015-04-26;2015-05-03,8/19/15
7064844459,3,2015-06-23;2015-07-31;2015-08-15,2015-07-17;2015-08-14,8/19/15
1112017768,1,5/28/15,,8/19/15
3079511469,1,4/26/15,,8/19/15
5781022158,1,12/20/14,,8/19/15
1853627736,3,2015-05-27;2015-06-17;2015-07-03,2015-06-17;2015-07-03,8/19/15
8401108350,1,7/22/15,,8/19/15
7035285544,7,2015-06-02;2015-06-14;2015-06-17;2015-07-03;2015-07-17;2015-07-31;2015-08-10,2015-06-12;2015-06-17;2015-07-02;2015-07-17;2015-07-31;2015-08-10,8/19/15
2893571939,5,2015-06-05;2015-06-15;2015-06-29;2015-07-22;2015-08-15,2015-06-15;2015-06-29;2015-07-19;2015-08-14,8/19/15
7371265289,2,2015-04-09;2015-04-16,4/16/15,8/19/15
1775406254,1,9/22/14,,8/19/15
4509848841,7,2015-03-11;2015-03-27;2015-04-08;2015-04-30;2015-05-20;2015-06-12;2015-07-17,2015-03-27;2015-04-05;2015-04-29;2015-05-20;2015-06-12;2015-07-17,8/19/15
9013261149,5,2015-05-29;2015-06-05;2015-06-11;2015-06-19;2015-07-15,2015-06-05;2015-06-10;2015-06-19;2015-07-15,8/19/15
9500422035,3,2015-06-19;2015-07-21;2015-08-10,2015-07-12;2015-08-10,8/19/15
8710405577,1,6/16/15,,8/19/15
3988203332,11,2015-06-09;2015-06-22;2015-06-30;2015-07-05;2015-07-12;2015-07-17;2015-07-24;2015-07-30;2015-08-05;2015-08-11;2015-08-19,2015-06-15;2015-06-29;2015-07-04;2015-07-12;2015-07-14;2015-07-22;2015-07-28;2015-08-03;2015-08-10;2015-08-19,8/19/15
8387614970,4,2015-05-21;2015-06-17;2015-07-17;2015-08-07,2015-06-09;2015-07-15;2015-08-07,8/19/15
6526183719,1,7/17/14,,8/19/15
5331332312,6,2015-02-11;2015-03-11;2015-04-10;2015-05-05;2015-06-04;2015-06-27,2015-03-04;2015-04-01;2015-05-01;2015-05-25;2015-06-25;2015-07-24,8/19/15
