,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
person_id_random,loanStartDates,loanPaidDates,currentDate,Variance1,loanStartDates1,loanStartDates2,loanStartDates3,loanStartDates4,loanStartDates5,loanStartDates6,loanStartDates7,loanStartDates8,loanStartDates9,loanStartDates10,loanStartDates11,loanStartDates12,loanStartDates13,loanStartDates14,loanStartDates15,loanStartDates16,loanStartDates17,loanStartDates18,loanStartDates19,loanStartDates20,loanStartDates21,loanStartDates22,loanStartDates23,loanStartDates24,loanStartDates25,loanStartDates26,loanStartDates27,loanStartDates28,loanStartDates29,loanStartDates30,loanStartDates31,loanStartDates32,loanStartDates33,loanPaidDates1,loanPaidDates2,loanPaidDates3,loanPaidDates4,loanPaidDates5,loanPaidDates6,loanPaidDates7,loanPaidDates8,loanPaidDates9,loanPaidDates10,loanPaidDates11,loanPaidDates12,loanPaidDates13,loanPaidDates14,loanPaidDates15,loanPaidDates16,loanPaidDates17,loanPaidDates18,loanPaidDates19,loanPaidDates20,loanPaidDates21,loanPaidDates22,loanPaidDates23,loanPaidDates24,loanPaidDates25,loanPaidDates26,loanPaidDates27,loanPaidDates28,loanPaidDates29,loanPaidDates30,loanPaidDates31,loanPaidDates32
7346661357,3/3/2015,,8/19/2015,,3/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9468184407,7/21/2015,8/15/2015,8/19/2015,25,7/21/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2990883566,12/29/2014,,8/19/2015,,12/29/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320175519,2015-05-08;2015-05-29;2015-06-15;2015-07-03;2015-08-01;2015-08-17,2015-05-26;2015-06-15;2015-07-03;2015-07-30;2015-08-17,8/19/2015,18,5/8/2015,5/29/2015,6/15/2015,7/3/2015,8/1/2015,8/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/26/2015,6/15/2015,7/3/2015,7/30/2015,8/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
5330295937,2014-05-23;2014-06-09;2014-06-20;2014-07-14;2014-08-05,2014-06-08;2014-06-20;2014-07-05;2014-08-04,8/19/2015,16,5/23/2014,6/9/2014,6/20/2014,7/14/2014,8/5/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/8/2014,6/20/2014,7/5/2014,8/4/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7629417453,6/2/2015,,8/19/2015,,6/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5594363895,7/20/2015,,8/19/2015,,7/20/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5935455253,2015-02-28;2015-03-14,3/14/2015,8/19/2015,14,2/28/2015,3/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5254531566,2015-03-17;2015-04-07;2015-04-22;2015-05-11;2015-05-30;2015-06-16;2015-07-14;2015-08-06,2015-04-07;2015-04-22;2015-05-11;2015-05-29;2015-06-16;2015-07-14;2015-08-06,8/19/2015,21,3/17/2015,4/7/2015,4/22/2015,5/11/2015,5/30/2015,6/16/2015,7/14/2015,8/6/2015,,,,,,,,,,,,,,,,,,,,,,,,,,4/7/2015,4/22/2015,5/11/2015,5/29/2015,6/16/2015,7/14/2015,8/6/2015,,,,,,,,,,,,,,,,,,,,,,,,,
