person_id_random,paidOff,paidOffDuring30,hasDualSim,hasWlan,hasBluetooth,android_version,gender,fb_friend_count,current_home_years,living_situation,current_job_years,education,outstanding_loan,use_mobile_wallet_how_often,relationship_status,Age,job_status,annual_wages
7346661357,0,1,0.0,1.0,1.0,4.0,0,1961.0,5.0,0,6.0,2,0,2,0,25.0,1,462000.0
9468184407,1,0,0.0,0.0,1.0,4.0,0,194.0,5.0,0,0.0,2,0,2,1,35.0,0,352000.0
2990883566,0,1,0.0,1.0,1.0,4.0,1,445.0,4.0,0,6.0,0,0,1,0,29.0,1,660000.0
2320175519,1,0,0.0,1.0,1.0,4.0,0,107.0,3.0,0,0.0,1,0,2,1,46.0,0,284415.299555
5330295937,1,0,0.0,1.0,0.0,2.0,0,214.0,5.0,0,4.0,0,0,2,0,33.0,1,284415.299555
7629417453,0,1,0.0,1.0,1.0,4.0,1,104.0,5.0,0,3.0,2,1,2,1,37.0,1,308000.0
5594363895,0,0,0.0,1.0,1.0,4.0,0,531.0,0.0,0,2.0,2,0,1,2,24.0,1,363000.0
5935455253,1,0,0.0,1.0,0.0,2.0,0,1008.0,5.0,0,6.0,2,0,1,0,31.0,1,682000.0
5254531566,1,0,0.0,1.0,1.0,4.0,0,2748.0,5.0,0,6.0,2,0,2,1,34.0,1,517000.0
8230219163,1,0,0.0,1.0,1.0,4.0,1,63.0,2.0,0,3.0,1,1,1,1,33.0,1,96000.0
3152634654,1,0,0.0,0.0,1.0,4.0,0,26.0,2.0,1,6.0,2,0,2,1,40.0,1,440000.0
7598871262,1,0,0.0,1.0,1.0,4.0,1,1170.0,3.0,0,0.0,2,1,1,0,27.0,0,88000.0
5781556178,1,0,0.0,0.0,1.0,4.0,0,786.687690743,5.0,0,6.0,2,1,2,1,36.0,1,330000.0
8834809018,0,1,0.0,1.0,1.0,4.0,1,2662.0,4.0,0,3.0,2,0,0,1,24.0,1,284415.299555
7442299181,1,0,1.0,1.0,1.0,4.0,0,791.0,2.0,1,0.0,1,1,2,1,35.0,0,495000.0
7076340710,1,1,0.0,1.0,1.0,4.0,1,497.0,5.0,0,3.0,1,0,1,0,26.0,1,132000.0
5843534196,1,0,0.0,0.0,1.0,4.0,0,686.0,5.0,0,5.0,2,1,2,2,33.0,1,803000.0
5563120467,0,1,0.0,0.0,0.0,0.0,0,234.0,4.0,0,4.0,0,0,2,0,34.0,1,240000.0
3225694348,1,0,0.0,0.0,0.0,2.0,0,145.0,3.0,1,3.0,0,0,2,0,27.0,1,240000.0
1389690912,1,0,0.0,1.0,0.0,4.0,0,580.0,5.0,0,5.0,2,0,1,1,28.0,1,33000.0
9148351638,0,1,0.0,1.0,1.0,4.0,1,105.0,2.0,0,0.0,2,0,2,1,29.0,0,165000.0
1784191842,1,1,0.0,1.0,1.0,4.0,0,440.0,2.0,0,2.0,2,0,1,1,27.0,1,165000.0
4239791639,1,0,0.0,0.0,0.0,2.0,1,65.0,4.0,0,4.0,0,0,1,0,31.5720207254,1,88000.0
8634554863,1,0,1.0,1.0,1.0,4.0,0,126.0,5.0,0,0.0,2,0,2,0,33.0,0,284415.299555
7228483529,1,0,1.0,0.0,1.0,4.0,1,163.0,0.0,0,0.0,2,1,1,1,34.0,0,284415.299555
1660359942,1,0,0.0,0.0,0.0,4.0,0,577.0,2.0,0,5.0,1,0,1,1,33.0,1,284415.299555
4850039402,1,0,0.0,1.0,1.0,4.0,1,418.0,4.0,0,0.0,0,1,0,0,39.0,0,88000.0
3418297468,0,1,0.0,1.0,1.0,4.0,0,1581.0,4.0,0,6.0,1,1,2,1,32.0,1,220000.0
2174427212,1,0,0.0,1.0,1.0,4.0,0,2683.0,3.0,1,5.0,2,0,1,1,31.0,1,825000.0
2562664921,1,0,1.0,1.0,1.0,4.0,0,40.0,4.0,0,4.0,2,0,1,0,37.0,1,330000.0
7064844459,1,0,1.0,1.0,1.0,4.0,0,177.0,1.0,0,0.0,2,0,1,0,28.0,0,165000.0
1112017768,0,1,0.0,1.0,1.0,4.0,0,512.0,2.0,0,3.0,3,0,1,2,29.0,1,660000.0
3079511469,0,1,0.0,0.0,0.0,2.0,0,336.0,3.0,0,3.0,2,0,1,0,26.0,1,440000.0
